지금 뭐 하고 계세요?	지금 뭐 해?
좋은 소식 기다릴게요.	좋은 소식 기다릴게.
그 이야기 정말 흥미롭네요.	그 이야기 진짜 흥미롭다.
사진 너무 예쁘네요.	사진 너무 예쁘다.
다음에 꼭 봬요.	다음에 꼭 보자.
조심히 들어가세요.	조심히 들어가.
좋은 결과 있으시길 바랍니다.	좋은 결과 있길 바라.
잘 지내셨나요?	잘 지냈어?
이 근처 맛집 아세요?	이 근처 맛집 알아?
무슨 일 있었어요?	무슨 일 있었어?
잘 다녀오세요.	잘 다녀와.
혹시 시간 되세요?	시간 돼?
오늘 기분 좋아 보이시네요.	오늘 기분 좋아 보인다.
잘 도착하셨나요?	잘 도착했어?
혹시 이해되셨나요?	이해됐어?
그렇게 하시겠어요?	그렇게 할래?
기분이 좋아지셨다니 다행이에요.	기분 좋아졌다니 다행이야.
정말 멋지시네요.	진짜 멋지다.
무엇을 원하시나요?	뭘 원해?
도와주셔서 감사해요.	도와줘서 고마워.
저는 괜찮습니다.	나는 괜찮아.
지금 바로 가시나요?	지금 바로 가?
잘 다녀오셨나요?	잘 다녀왔어?
좋은 추억 만드세요.	좋은 추억 만들어.
연락 주셔서 감사합니다.	연락줘서 고마워.
다시 한번 말씀해주시겠어요?	다시 한 번 말해줄래?
늦어서 죄송합니다.	늦어서 미안해.
천천히 오세요.	천천히 와.
정말 대단하시네요.	정말 대단하다.
생각해보시겠어요?	생각해볼래?
괜찮으시면 앉으세요.	괜찮으면 앉아.
사진 찍어드릴까요?	사진 찍어줄까?
오늘 일정 어떠세요?	오늘 일정 어때?
오늘 하루 수고하셨어요.	오늘 하루 수고했어.
정말 감사합니다.	정말 고마워.
축하드립니다!	축하해!
다음 주에 뵙겠습니다.	다음 주에 보자.
오늘 일찍 주무세요.	오늘 일찍 자.
그건 어떻게 하셨나요?	그건 어떻게 했어?
시간이 얼마쯤 걸릴까요?	시간 얼마나 걸릴까?
기다려주셔서 감사합니다.	기다려줘서 고마워.
오늘 날씨 춥네요.	오늘 날씨 춥다.
감기 걸리지 않게 조심하세요.	감기 걸리지 않게 조심해.
혹시 도와드릴까요?	도와줄까?
좋은 꿈 꾸세요.	좋은 꿈 꿔.
도착하시면 연락 주세요.	도착하면 연락 줘.
이해해주셔서 고맙습니다.	이해해줘서 고마워.
잘 부탁드립니다.	잘 부탁해.
걱정하지 마세요.	걱정하지 마.
조심히 다녀오세요.	조심히 다녀와.
시간 내주셔서 감사합니다.	시간 내줘서 고마워.
이건 어떠세요?	이건 어때?
맛있게 드셨나요?	맛있게 먹었어?
사진 잘 나왔네요.	사진 잘 나왔네.
오늘 일정 다 끝나셨나요?	오늘 일정 다 끝났어?
정말 반가웠습니다.	정말 반가웠어.
좋은 소식 기대하겠습니다.	좋은 소식 기대할게.
오늘은 쉬세요.	오늘은 쉬어.
천천히 하셔도 됩니다.	천천히 해도 돼.
정말 오랜만이네요.	정말 오랜만이다.
좋은 소식 들려주세요.	좋은 소식 들려줘.
무엇을 드시겠어요?	뭐 먹을래?
이쪽으로 오시겠어요?	이쪽으로 올래?
그 이야기는 처음 듣네요.	그 이야기는 처음 듣는다.
괜찮으시면 함께 하시겠어요?	괜찮으면 같이 할래?
기다리게 해서 죄송해요.	기다리게 해서 미안해.
오늘도 고생하셨습니다.	오늘도 고생했어.
도착하셨나요?	도착했어?
좋은 소식이 있나요?	좋은 소식 있어?
도와드릴 일이 있을까요?	도와줄 일 있을까?
잠깐 시간 괜찮으세요?	잠깐 시간 괜찮아?
오늘 기분 좋아 보이시네요.	오늘 기분 좋아 보인다.
다시 말씀해주시겠어요?	다시 말해줄래?
생각보다 빠르시네요.	생각보다 빠르다.
그 얘기 해주셔서 감사해요.	그 얘기해줘서 고마워.
연락드릴게요.	연락할게.
건강은 괜찮으세요?	건강은 괜찮아?
어디서 오셨어요?	어디서 왔어?
지금 괜찮으시면 통화 가능할까요?	지금 괜찮으면 통화할 수 있을까?
맛있게 드셨다니 다행이에요.	맛있게 먹었다니 다행이야.
정말 즐거웠습니다.	정말 즐거웠어.
내일 뵙겠습니다.	내일 보자.
좋은 하루 되세요.	좋은 하루 보내.
신경 써주셔서 감사합니다.	신경 써줘서 고마워.
오늘 회의 준비되셨나요?	오늘 회의 준비됐어?
기다리셨죠?	기다렸지?
무슨 일로 전화하셨어요?	무슨 일로 전화했어?
다음에 또 연락드릴게요.	다음에 또 연락할게.
천천히 오셔도 됩니다.	천천히 와도 돼.
수고 많으셨습니다.	수고 많았어.
괜찮으시면 자리에 앉으세요.	괜찮으면 앉아.
기대하고 있습니다.	기대하고 있어.
좋은 시간 되세요.	좋은 시간 보내.
이제 들어가시죠.	이제 들어가자.
오늘은 여기까지 하시죠.	오늘은 여기까지 하자.
그 소식 정말 반갑네요.	그 소식 정말 반갑다.
좋은 일만 가득하시길 바랍니다.	좋은 일만 가득하길 바라.
다음에 또 봬요.	다음에 또 보자.
조심히 들어가세요.	조심히 들어가.
오늘도 파이팅 하세요.	오늘도 파이팅 해.
